path,size_bytes,size_mb_decimal,sha256,category,protected_status,git_ignored,above_50_mb,above_100_mb,duplicate_group,commit_disposition,reason
outputs/runs/br_v02_moderate_grouped_retrain_20260710_110917/replay_cache/train_blended_float32.npy,6291456128,6291.456128,2cdea82c4cff5b551eff875450db92d59a0df3a6cb394af7330e1a5afa74bb4b,cache_or_dense_embedding,DERIVED_BULKY_ARTIFACT,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,Regenerable cache or dense embedding; compact provenance is sufficient.
outputs/runs/thayer_multiple_hypotheses_20260712_190701/target_sets/thayer_mh_training_target_sets.h5,3113492536,3113.492536,7fc92222ff2d980c4beb787b961fa7bdaf3130c055ce842dc8fd5f600c29c19a,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_probabilistic_unet_20260712_163340/prior_samples/non_atlas_validation_k16.h5,2767201040,2767.201040,2e084cdc3359a21504ee63c33519d918fb40f7daa12eac5956d6e083c5607436,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
data/Galaxy10_DECals.h5,2735267419,2735.267419,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,raw_dataset_or_catalog,PROTECTED_LOCAL_DATA,yes,yes,yes,DUP-005,EXCLUDE_LOCAL_ONLY,Raw datasets and downloaded catalogs are not repository artifacts.
data_exploration/data/Galaxy10_DECals.h5,2735267419,2735.267419,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,raw_dataset_or_catalog,PROTECTED_LOCAL_DATA,yes,yes,yes,DUP-005,EXCLUDE_LOCAL_ONLY,Raw datasets and downloaded catalogs are not repository artifacts.
outputs/runs/thayer_multiple_hypotheses_20260712_190701/features/near_pool_training.h5,2078288768,2078.288768,251c8d244404847d82d4df41c851744fe8a8cae979be4a939c1e74639d6f81bd,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_probabilistic_unet_20260712_163340/features/near_pool_training.h5,2078288768,2078.288768,7d1a78abdcf676eb2a18b7dfbbae11da008ce4bb0fa021d1d0d4760ffa1d769b,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_select_hierarchical_safety_20260711_225657/manifests/v2_r_training_scenes.h5,2029996060,2029.996060,64ab7224a138e7d46c72261f9637b7a537fe00e75e286ae9b16c71957c602d82,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_select_prompt_ablation_20260711_164329/manifests/training_scenes.h5,2005582252,2005.582252,808c8dcf2ed8fbb6b9ad0a9e85ff2733c1e5025afa5cd6c9a65ff60947a19062,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_select_hierarchical_safety_20260711_225657/manifests/v2_q_training_scenes.h5,2004221642,2004.221642,de8f174e08f0de73a86587b03423bdc62012a3272d2a3d7e09ca47f097967533,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_probabilistic_unet_20260712_163340/manifests/probabilistic_unet_training_scenes.h5,2001264007,2001.264007,40477c12b93d2f2465d2733f6e0ebee21164f96aad2b6372b23dfb5a67e6fbbe,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_multiple_hypotheses_20260712_190701/manifests/probabilistic_unet_training_scenes.h5,1876270128,1876.270128,d6ca6f1cbcb136a075f0216460e5f6b2dcd5fefbb63894803b86069df4e5f48d,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_select_hierarchical_feasibility_20260712_010729/manifests/v2_r_training_scenes.h5,1623997736,1623.997736,a9efead2293b47afca61c1a156ac0fed9cdd4bc1c5920e197a581022c5fa0f22,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
outputs/runs/thayer_select_hierarchical_feasibility_20260712_010729/manifests/v2_q_training_scenes.h5,1603408289,1603.408289,c1cad572aee25aec604a8a9ae1bd5fcbd85ac05fbb98a3fde40cdb3a1f48a2c6,scientific_tensor_or_generated_observation,POTENTIALLY_PROTECTED_OR_DERIVED,yes,yes,yes,,EXCLUDE_LOCAL_ONLY,"Dense scientific tensors remain local; commit compact tables, reports, and manifests."
